date,title,pages,isFinish
2024-07-26,"Tomorrow, and Tomorrow, and Tomorrow",23,false
2024-07-27,"Tomorrow, and Tomorrow, and Tomorrow",4,false
2024-07-28,"The Light We Carry",4,false
